participantId,experimentId,segment_index,tab,start_ms,end_ms,duration_ms
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,0,reading,1766480936825.0,1766481317909.0,381084.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,1,chat,1766481317909.0,1766481318279.0,370.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,2,reading,1766481318279.0,1766481344066.0,25787.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,3,chat,1766481344066.0,1766481351554.0,7488.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,4,reading,1766481351554.0,1766481352160.0,606.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,5,chat,1766481352160.0,1766481353613.0,1453.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,6,reading,1766481353613.0,1766481379698.0,26085.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,7,chat,1766481379698.0,1766481379746.0,48.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,8,reading,1766481379746.0,1766481530900.0,151154.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,9,chat,1766481530900.0,1766481998940.0,468040.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,10,reading,1766481998940.0,1766482021242.0,22302.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,11,chat,1766482021242.0,1766482178283.0,157041.0
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,12,reading,1766482178283.0,1766482468425.0,290142.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,0,reading,1766489941814.0,1766490027321.0,85507.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,1,chat,1766490027321.0,1766490035814.0,8493.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,2,audio,1766490035814.0,1766490045861.0,10047.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,3,reading,1766490045861.0,1766490056785.0,10924.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,4,audio,1766490056785.0,1766490140941.0,84156.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,5,video,1766490140941.0,1766491139391.0,998450.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,6,chat,1766491139391.0,1766491163727.0,24336.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,7,reading,1766491163727.0,1766491191818.0,28091.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,8,chat,1766491191818.0,1766491202108.0,10290.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,9,reading,1766491202108.0,1766491236822.0,34714.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,10,chat,1766491236822.0,1766491245774.0,8952.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,11,infographics,1766491245774.0,1766491253222.0,7448.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,12,chat,1766491253222.0,1766491310912.0,57690.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,13,reading,1766491310912.0,1766491314396.0,3484.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,14,chat,1766491314396.0,1766491329938.0,15542.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,15,reading,1766491329938.0,1766491330201.0,263.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,16,chat,1766491330201.0,1766491356450.0,26249.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,17,reading,1766491356450.0,1766491359569.0,3119.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,18,chat,1766491359569.0,1766491360018.0,449.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,19,reading,1766491360018.0,1766491361895.0,1877.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,20,chat,1766491361895.0,1766491362125.0,230.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,21,reading,1766491362125.0,1766491366692.0,4567.0
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,22,chat,1766491366692.0,1766491389086.0,22394.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,0,reading,1766440028966.0,1766440065737.0,36771.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,1,chat,1766440065737.0,1766440066369.0,632.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,2,reading,1766440066369.0,1766440203016.0,136647.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,3,chat,1766440203016.0,1766440203228.0,212.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,4,reading,1766440203228.0,1766440267218.0,63990.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,5,chat,1766440267218.0,1766440268763.0,1545.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,6,reading,1766440268763.0,1766440478071.0,209308.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,7,chat,1766440478071.0,1766440479077.0,1006.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,8,reading,1766440479077.0,1766440512834.0,33757.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,9,chat,1766440512834.0,1766440514579.0,1745.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,10,reading,1766440514579.0,1766441065547.0,550968.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,11,chat,1766441065547.0,1766441074462.0,8915.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,12,reading,1766441074462.0,1766441086986.0,12524.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,13,chat,1766441086986.0,1766441088450.0,1464.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,14,reading,1766441088450.0,1766441139660.0,51210.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,15,chat,1766441139660.0,1766441141118.0,1458.0
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,16,reading,1766441141118.0,1766441446868.0,305750.0
