Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,exclusion_reason
6945dd06f40b24139158ce90,67ed4f4554b89f3a5b5c13a7,AWAITING REVIEW,Not Applicable,2025-12-19T23:17:33.815000Z,2025-12-19T23:44:43.661000Z,,2025-12-19T23:44:44.004177Z,1630.0,CNST1ELE,848,37,Male,White,United States,United States,United States,English,No,Full-Time,No data in Firebase - experiment data not synced
6945dd207dc5c2f2abe9258f,67df453bc406da9f288f9656,AWAITING REVIEW,Not Applicable,2025-12-19T23:17:52.115000Z,2025-12-19T23:44:39.176000Z,,2025-12-19T23:44:39.531890Z,1608.0,CNST1ELE,885,28,Male,White,United States,United States,United States,English,No,Full-Time,No data in Firebase - experiment data not synced
6945dd75fe4f67407c57a9a8,67de01d3d44c6326661a7d33,AWAITING REVIEW,Not Applicable,2025-12-19T23:19:23.979000Z,2025-12-19T23:44:44.949000Z,,2025-12-19T23:44:45.356422Z,1521.0,CNST1ELE,1709,52,Male,White,United States,United States,United States,English,No,Full-Time,No data in Firebase - experiment data not synced
6946067f8c6ea655f172f9ab,69433c650c16615381b1a0f8,AWAITING REVIEW,Not Applicable,2025-12-20T02:14:26.531000Z,2025-12-20T02:55:24.166000Z,,2025-12-20T02:55:24.506560Z,2458.0,CNST1ELE,29,26,Female,White,United States,United States,DATA_EXPIRED,English,No,Full-Time,No data in Firebase - experiment data not synced
69469212c9070d2f68dc6930,674aa67b13fcbfeda28a00ef,AWAITING REVIEW,Not Applicable,2025-12-20T12:12:45.213000Z,2025-12-20T12:54:01.891000Z,,2025-12-20T12:54:02.239771Z,2477.0,CNST1ELE,1181,38,Female,White,United States,United States,United States,English,No,Full-Time,Firebase data exists but status is in_progress (not completed)
