Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
694736c4c43cf8580048322d,6945f1dfce339124a8978f18,AWAITING REVIEW,Not Applicable,2025-12-20T23:52:44.824000Z,2025-12-21T00:28:06.202000Z,,2025-12-21T00:31:28.711143Z,2122.0,CNST1ELE,4,49,Female,White,United States,United States,United States,English,No,Full-Time
69474bd54f89a1b9a66e9563,66c6b37d82e002e73e1fbd2d,AWAITING REVIEW,Not Applicable,2025-12-21T01:22:37.282000Z,2025-12-21T02:11:22.455000Z,,2025-12-21T02:11:22.832713Z,2926.0,CNST1ELE,1019,61,Female,Black,United States,United States,United States,English,No,Full-Time
69475a919c3d19b3b2185888,6941548fbd8b79fcf75cacc7,AWAITING REVIEW,Not Applicable,2025-12-21T02:25:24.896000Z,2025-12-21T03:11:58.139000Z,,2025-12-21T03:11:58.501286Z,2794.0,CNST1ELE,61,45,Male,White,United States,United States,United States,English,No,Full-Time
69475ecfec024e264378063b,65216075939674db7a47e7d0,AWAITING REVIEW,Not Applicable,2025-12-21T02:43:30.725000Z,2025-12-21T03:16:36.761000Z,,2025-12-21T03:16:37.150317Z,1987.0,CNST1ELE,1222,28,Female,White,United States,United States,United States,English,No,Full-Time
694774ffdedd11b70a02e854,65de3af8fcbc6ef9331bd863,AWAITING REVIEW,Not Applicable,2025-12-21T04:18:17.408000Z,2025-12-21T04:58:31.465000Z,,2025-12-21T04:58:31.822511Z,2415.0,CNST1ELE,1410,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6947753da014f6f376acb9f4,66bfe5ecc23f1e2109f144d6,AWAITING REVIEW,Not Applicable,2025-12-21T04:19:11.910000Z,2025-12-21T04:55:01.924000Z,,2025-12-21T04:55:02.316369Z,2151.0,CNST1ELE,763,28,Male,Asian,United States,United States,United States,English,No,Full-Time
694776bba47d482d85d6aa0e,672f0e017c32cf8dfb315424,AWAITING REVIEW,Not Applicable,2025-12-21T04:25:44.975000Z,2025-12-21T05:12:17.047000Z,,2025-12-21T05:12:17.405797Z,2793.0,CNST1ELE,292,37,Male,White,United States,United States,United States,English,No,Full-Time
69478c8e035d083ee55926a3,692632a21e521046ef338590,AWAITING REVIEW,Not Applicable,2025-12-21T05:58:42.384000Z,2025-12-21T06:31:14.515000Z,,2025-12-21T06:31:14.893926Z,1953.0,CNST1ELE,44,33,Female,Asian,United States,United States,United States,English,No,Full-Time
6947a2f58bbe74ba772a64d4,66e1fe0eef87e2486f0f4ca1,AWAITING REVIEW,Not Applicable,2025-12-21T07:34:18.709000Z,2025-12-21T08:46:27.330000Z,,2025-12-21T08:46:27.710968Z,4329.0,CNST1ELE,362,46,Female,White,United States,United States,United States,English,Yes,Full-Time
6947a44772971c116f064b63,668eec6ed561b72c282fc11a,AWAITING REVIEW,Not Applicable,2025-12-21T07:39:58.132000Z,2025-12-21T08:17:17.386000Z,,2025-12-21T08:17:17.744054Z,2240.0,CNST1ELE,989,32,Male,Black,United States,United States,United States,English,Yes,Full-Time
